Tramite,Secretaria,Dependencia,Tiempo_en_minutos,CONTEO_NETO,N_FORMATOS_FINAL,nivel_digitalizacion,costo,cluster,indice_z2
Proyecto de Lotificación,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,30.0,3.0,1.0,,1.0,2,-0.02572302548443145
Cambio de Nombre en la Tarjeta de Circulación por Conclusión de la Transferencia de los Derechos de la Concesión de Transporte Público,Secretaría de Movilidad y Transporte,Sistema de Transporte Convencional de Hidalgo,1440.0,2.0,1.0,Nivel 2,0.0,1,-0.4552350162875671
Asignación o Cambio de Cromática y Asignación de Clave Mnemotécnica,Secretaría de Movilidad y Transporte,Sistema de Transporte Convencional de Hidalgo,30.0,3.0,1.0,Nivel 2,1.0,2,-0.17252137411844404
Transferencia por Designación de Persona Beneficiaria de la Concesión del Servicio Transporte Público,Secretaría de Movilidad y Transporte,Sistema de Transporte Convencional de Hidalgo,30.0,11.0,1.0,,1.0,2,0.66451389135287
Copias certificadas de pagos de Control Vehicular,Secretaría de Hacienda,Secretaría de Hacienda,28800.0,1.0,1.0,,1.0,2,0.4114892414127528
Inscripción de actos cuando se presenten en documentos separados. (Registro Público de la Propiedad y del Comercio),Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,21600.0,2.0,1.0,,1.0,2,0.4838503318171523
Constancia de estudios UTVAM,Secretaría de Educación Pública,Universidad Tecnológica de la Zona Metropolitana del Valle de México,2880.0,2.0,0.0,Nivel 4.3,1.0,0,-0.742064401627801
Centro Asistencial La Casita,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,1440.0,0.0,0.0,Nivel 1,0.0,1,-0.48358330343310424
Pago de Créditos Fiscales derivado de multas estatales no fiscales,Secretaría de Hacienda,Secretaría de Hacienda,15.0,1.0,1.0,,0.0,1,-0.7037229687130979
Orientación en materia fiscal,Secretaría de Hacienda,Secretaría de Hacienda,129600.0,1.0,1.0,,0.0,1,0.14865726497307702
Reposición por Robo o Extravìo del Tarjetón para Personas Conductoras del Tuzobús,Secretaría de Movilidad y Transporte,Sistema de Transporte Masivo de Hidalgo,1440.0,4.0,1.0,Nivel 1,1.0,2,0.35272778195381305
Credencial Institucional (ITSOEH),Secretaría de Educación Pública,Instituto Tecnológico Superior del Occidente del Estado de Hidalgo,7200.0,2.0,0.0,,1.0,2,0.4270617956563194
Reposición de Credencial UPH,Secretaría de Educación Pública,Universidad Politécnica de Huejutla,30.0,1.0,0.0,Nivel 2,1.0,2,-0.27426883558098747
Trámite para titulación UPE,Secretaría de Educación Pública,Universidad Politécnica de la Energía,5760.0,5.0,0.0,,1.0,2,0.5989941575794485
Constancia de terminación de estadía UPP,Secretaría de Educación Pública,Universidad Politécnica de Pachuca,4320.0,11.0,3.0,Nivel 2,0.0,1,1.0679784950975815
Designación de Persona Beneficiaria de la Concesión del Servicio de Transporte Público,Secretaría de Movilidad y Transporte,Sistema de Transporte Convencional de Hidalgo,30.0,2.0,1.0,,1.0,2,-0.02572302548443145
Inscripción a la UICEH,Secretaría de Educación Pública,Universidad Intercultural del Estado de Hidalgo,90.0,5.0,0.0,Nivel 1,1.0,2,0.17070188110078816
Reinscripción a la UICEH,Secretaría de Educación Pública,Universidad Intercultural del Estado de Hidalgo,75.0,2.0,1.0,Nivel 1,1.0,2,-0.027232288394850368
Expedición de Tarifario,Secretaría de Movilidad y Transporte,Sistema de Transporte Convencional de Hidalgo,30.0,2.0,1.0,Nivel 2,1.0,2,-0.17252137411844404
Por informe de aviso de testamento,Secretaría de Gobierno,Dirección General del Archivo General de Notarías,1440.0,0.0,1.0,,1.0,2,0.14088559287035698
Trámite de pista para aterrizaje,Secretaría de Seguridad Pública,Secretaría de Seguridad Pública,10.0,0.0,0.0,Nivel 1,1.0,2,-0.26873974735284833
Trámite de pernocta,Secretaría de Seguridad Pública,Secretaría de Seguridad Pública,10.0,4.0,1.0,Nivel 1,1.0,2,0.022826157396405367
Casa de la mujer indígena,Organismos No Sectorizados,Comisión Estatal para el Desarrollo Sostenible de los Pueblos Indígenas (CEDSPI),1440.0,2.0,1.0,,0.0,1,-0.3084366676535545
INSCRIPCIÓN O ANOTACIÓN QUE NO MODIFICA EL DERECHO INSCRITO. (REGISTRO PÚBLICO DE LA PROPIEDAD Y DEL COMERCIO),Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,21600.0,2.0,1.0,,1.0,2,0.4838503318171523
"Expedición de Copias Certificadas en Libros (del año 2015 y Años Anteriores), e Impresión de Folios a partir del año 2015 (Registro Público de la Propiedad y del Comercio)",Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,7200.0,1.0,2.0,Nivel 3.5,1.0,0,0.22191863420206331
Visita al museo de documentos históricos,Oficialía Mayor,Oficialía Mayor,60.0,0.0,0.0,Nivel 1,0.0,1,-0.69135051886243
Inscripción de fusión de predios. (Registro Público de la Propiedad y del Comercio),Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,21600.0,3.0,1.0,Nivel 3.5,1.0,0,-0.02994388840189202
Inscripción de inmatriculación. (Registro Público de la Propiedad y del Comercio),Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,21600.0,7.0,1.0,Nivel 3.5,1.0,0,0.36968404598445287
Inscripción del régimen de propiedad en condominio. (Registro Público de la Propiedad y del Comercio),Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,21600.0,4.0,1.0,,1.0,2,0.6736687751038625
Atención a Solicitudes de Componentes de la Sangre para la Atención de Pacientes,Secretaría de Salud,Secretaría de Salud,90.0,3.0,1.0,Nivel 1,1.0,2,-0.012792020837130824
Levantamiento Topográfico de poligonales (Catastral),Secretaría de Hacienda,Instituto Catastral,4320.0,4.0,1.0,Nivel 1,1.0,2,0.508861405459117
