Tramite,Secretaria,Dependencia,Tiempo_en_minutos,CONTEO_NETO,N_FORMATOS_FINAL,nivel_digitalizacion,costo,cluster,indice_z2
Captación de Leche en Centros de Acopio.,Secretaría de Agricultura y Desarrollo Rural,Secretaría de Agricultura y Desarrollo Rural,1440.0,0.0,1.0,Nivel 2,0.0,1,-0.5506579364013192
"Publicación en el Periódico Oficial, que realizan los Municipios de instrumentos legales.",Secretaría de Gobierno,Secretaría de Gobierno,255.0,0.0,0.0,Nivel 1,1.0,2,0.20673948924480662
"Publicación en el Periódico Oficial, que realizan los Municipios de instrumentos legales.",Secretaría de Gobierno,Secretaría de Gobierno,255.0,0.0,0.0,,1.0,2,0.28013866356181294
Constancias de estudios con calificaciones de Primaria General,Secretaría de Educación Pública,Instituto Hidalguense de Educación,45.0,1.0,1.0,Nivel 2,0.0,1,-0.7810510280824041
Solicitud de Fichas de Ingreso UPE,Secretaría de Educación Pública,Universidad Politécnica de la Energía,2880.0,3.0,1.0,Nivel 1,1.0,2,0.21844940584207273
Capacitación,Secretaría de Hacienda,Instituto Catastral,172800.0,1.0,1.0,,1.0,2,0.7164650485042051
Solicitud de factibilidad para la contratación del servicio de agua potable.,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión de Agua y Alcantarillado del Sistema Valle del Mezquital,1440.0,3.0,1.0,,1.0,2,0.2363085129841091
Cédula de Validación Estatal Impulso NAFIN-Hidalgo,Secretaría de Desarrollo Económico,Secretaría de Desarrollo Económico,15.0,1.0,1.0,Nivel 3.1,0.0,1,-0.9239204916641168
Por expedición de primeros y segundos testimonios,Secretaría de Gobierno,Dirección General del Archivo General de Notarías,1440.0,0.0,1.0,,1.0,2,0.14088559287035698
Inscripción UPE,Secretaría de Educación Pública,Universidad Politécnica de la Energía,30.0,3.0,1.0,Nivel 1,1.0,2,-0.09912219980143777
Financiamiento para Estudios de Nivel Superior,Secretaría de Educación Pública,Instituto Hidalguense de Financiamiento a la Educación Superior,2880.0,5.0,1.0,Nivel 1,1.0,2,0.408267849128783
Talleres artísticos especializados del Centro de las Artes de Hidalgo.,Secretaría de Cultura,Consejo Estatal para la Cultura y las Artes de Hidalgo,14400.0,0.0,0.0,Nivel 1,1.0,2,0.3138020232451442
Expedición de Certificados Bachillerato del Estado de Hidalgo,Secretaría de Educación Pública,Bachillerato del Estado de Hidalgo,30.0,2.0,0.0,Nivel 1,1.0,2,-0.10544674115022912
Equivalencia de Estudios de tipo Superior,Secretaría de Educación Pública,Secretaría de Educación Pública,7200.0,5.0,1.0,Nivel 4.1,1.0,0,-0.25758531151225494
Acreditación de la Lengua Extranjera ITESHU.,Secretaría de Educación Pública,Instituto Tecnológico Superior de Huichapan,34560.0,1.0,0.0,Nivel 1,1.0,2,0.34638132839814795
"Validación de trabajos con maquinaria pesada, para su ejecución mediante cuotas de recuperación.",Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Centro Estatal de Maquinaria para el Desarrollo,10080.0,0.0,1.0,Nivel 1,0.0,1,-0.2532099750658744
Cambio de nombre del titular de contrato de agua potable.,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión de Agua y Alcantarillado del Sistema Valle del Mezquital,1440.0,1.0,1.0,,1.0,2,0.14088559287035698
Expedición de Historial Académico Bachillerato del Estado de Hidalgo,Secretaría de Educación Pública,Bachillerato del Estado de Hidalgo,30.0,1.0,0.0,Nivel 1,1.0,2,-0.2008696612639812
Constitución de Sociedades Cooperativas y Sociedades de Responsabilidad Limitada Microindustrial o Artesanal.,Secretaría de Desarrollo Económico,Secretaría de Desarrollo Económico,15.0,3.0,1.0,,0.0,1,-0.6083000485993457
Autorizaciones provisionales para profesionistas,Secretaría de Educación Pública,Secretaría de Educación Pública,60.0,9.0,2.0,Nivel 2,1.0,2,0.6791203208368647
"Titulación Nivel Licenciatura, Grado Académico Maestría y Especialidad UNIDEH.",Secretaría de Educación Pública,Universidad Digital del Estado de Hidalgo,30.0,4.0,0.0,,1.0,2,0.15777087645348747
Refrendo anual de registro de perito valuador,Secretaría de Hacienda,Instituto Catastral,172800.0,2.0,2.0,,1.0,2,1.2096374061477064
Becas Institucionales UPMH,Secretaría de Educación Pública,Universidad Politécnica Metropolitana de Hidalgo,87840.0,2.0,0.0,Nivel 1,0.0,1,-0.028160472852901075
Vinculación al Servicio Social y Prácticas Profesionales,Oficialía Mayor,Oficialía Mayor,7200.0,1.0,1.0,,0.0,1,-0.20678176374630497
Ficha para Examen de Admisión UPP,Secretaría de Educación Pública,Universidad Politécnica de Pachuca,80.0,2.0,0.0,Nivel 3.7,1.0,0,-0.6156422856239842
Expedición de Credencial Escolar Bachillerato del Estado de Hidalgo,Secretaría de Educación Pública,Bachillerato del Estado de Hidalgo,30.0,1.0,0.0,Nivel 1,1.0,2,-0.2008696612639812
Inscripción registro de perito Topográfo (Catastral),Secretaría de Hacienda,Instituto Catastral,172800.0,1.0,2.0,Nivel 1,1.0,2,1.0408153117169479
Consulta Documental en temas de Población,Secretaría de Gobierno,Consejo Estatal de Población,1440.0,1.0,0.0,Nivel 1,0.0,1,-0.48358330343310424
Atención jurídica en materia familiar.,Secretaría de Gobierno,Centro de Justicia Para Mujeres,50.0,0.0,0.0,,0.0,1,-0.6323051967478351
Historial Académico UPH,Secretaría de Educación Pública,Universidad Politécnica de Huejutla,30.0,1.0,0.0,Nivel 2,1.0,2,-0.27426883558098747
Información de Predios con Potencial para el Desarrollo de Parques Industriales.,Secretaría de Desarrollo Económico,Corporación de Fomento de Infraestructura Industrial,1440.0,0.0,0.0,,0.0,1,-0.4101841291160979
Constancia de Estudios (CEH),Secretaría de Educación Pública,Colegio del Estado de Hidalgo,7200.0,0.0,1.0,Nivel 1,1.0,2,0.2645642425743523
"Capacitaciones, platicas o talleres sobre el cuidado y la conservación de la biodiversidad",Secretaría de Medio Ambiente y Recursos Naturales,Comisión Estatal de Biodiversidad de Hidalgo,1440.0,0.0,1.0,Nivel 1,0.0,1,-0.4772587620843129
Estudio de prefactibilidad en polígonos para proyectos energéticos.,Secretaría de Desarrollo Económico,Agencia Estatal de Energía de Hidalgo,36000.0,3.0,1.0,Nivel 1,1.0,2,0.45140129503109044
Servicios de Equinoterapia UPP,Secretaría de Educación Pública,Universidad Politécnica de Pachuca,60.0,3.0,0.0,Nivel 1,1.0,2,-0.051182418111014316
"Atención psicológica a mujeres en situación de violencia de género y, en su caso, a sus hijas e hijos menores de edad.",Secretaría de Gobierno,Centro de Justicia Para Mujeres,50.0,0.0,0.0,,0.0,1,-0.6323051967478351
Sanitarios con Biodigestor Para Población Indígena,Organismos No Sectorizados,Comisión Estatal para el Desarrollo Sostenible de los Pueblos Indígenas (CEDSPI),1440.0,3.0,1.0,,0.0,1,-0.3084366676535545
Revalidación de Estudios de tipo Superior,Secretaría de Educación Pública,Secretaría de Educación Pública,11520.0,5.0,1.0,Nivel 4.1,1.0,0,-0.21991046232728645
Arrendamiento de salas y espacios en el Parque Científico y Tecnológico de Hidalgo (PCYTH),Organismos No Sectorizados,"Consejo de Ciencia, Tecnología e Innovación de Hidalgo (CITNOVA)",1440.0,0.0,0.0,Nivel 1,1.0,2,0.06116187720455936
Atención jurídica en materia penal.,Secretaría de Gobierno,Centro de Justicia Para Mujeres,50.0,0.0,0.0,,0.0,1,-0.6323051967478351
Titulación Nivel Posgrado (CEH),Secretaría de Educación Pública,Colegio del Estado de Hidalgo,345600.0,0.0,1.0,Nivel 1,1.0,2,0.6986335308504453
Monitoreo y opiniones técnica en materia de Biodiversidad,Secretaría de Medio Ambiente y Recursos Naturales,Comisión Estatal de Biodiversidad de Hidalgo,1440.0,0.0,1.0,Nivel 1,0.0,1,-0.4772587620843129
Asesoría para la Inversión de Desarrollos Industriales Específicamente en Parques Industriales y Logísticos.,Secretaría de Desarrollo Económico,Corporación de Fomento de Infraestructura Industrial,1440.0,0.0,0.0,,0.0,1,-0.4101841291160979
Dictamen de Convalidación ITESHU.,Secretaría de Educación Pública,Instituto Tecnológico Superior de Huichapan,15840.0,4.0,1.0,Nivel 1,1.0,2,0.6130082024136342
Certificado Parcial de Estudios (CEH),Secretaría de Educación Pública,Colegio del Estado de Hidalgo,7200.0,0.0,1.0,Nivel 1,1.0,2,0.2645642425743523
Jardines Polinizadores ó farmacias vivientes,Secretaría de Medio Ambiente y Recursos Naturales,Comisión Estatal de Biodiversidad de Hidalgo,1440.0,0.0,1.0,Nivel 2,0.0,1,-0.5506579364013192
Asesoría y Capacitación en Materia de Contraloría Social,Secretaría de Contraloría,Secretaría de Controlaría,1440.0,0.0,0.0,,0.0,1,-0.4101841291160979
Centros de Atención Infantil (CAI),Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,1440.0,6.0,0.0,,0.0,1,-0.1249427657156355
Registro de Organizaciones de la Sociedad Civil de Asistencia Social,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,1440.0,4.0,4.0,,0.0,1,0.6720358102549826
Servicio Social DIF,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,1440.0,2.0,0.0,,0.0,1,-0.31476120900234583
Prevención Social de la Violencia y la Delincuencia.,Secretaría de Seguridad Pública,Secretaría de Seguridad Pública,8640.0,1.0,1.0,Nivel 1,0.0,1,-0.26556652698782907
Renovación anual del registro estatal de consultores en materia de protección civil,Secretaría de Gobierno,Subsecretaría de Protección Civil y Gestión de Riesgos,43200.0,0.0,0.0,Nivel 1,1.0,2,0.3642697290009026
"Por la Suscripción al Periódico Oficial, por ejercicio fiscal vigente.",Secretaría de Gobierno,Secretaría de Gobierno,480.0,0.0,0.0,Nivel 1,1.0,2,0.25730032678752424
Expedición de Registro de Personal Docente de instituciones particulares de educación superior,Secretaría de Educación Pública,Secretaría de Educación Pública,14400.0,4.0,1.0,Nivel 4.1,1.0,0,-0.20202298949267172
Casa de la Mujer Hidalguense,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,180.0,4.0,0.0,,0.0,1,-0.007157661719002728
"Reporte de violencia o maltrato en contra de Niñas, Niños y Adolescentes",Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,1440.0,0.0,0.0,,0.0,1,-0.4101841291160979
Autorización Para el Uso y Aprovechamiento del Derecho de Vía Estatal,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,35.0,7.0,1.0,Nivel 1,1.0,2,0.31249332246343386
Expedición de Oficio de Afectación o no Afectación del Derecho de Vía,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,25.0,2.0,1.0,Nivel 1,0.0,1,-0.6427772666677549
Expedición de Oficio de Afectación de Vialidades y Señalamiento por Accidentes,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,20.0,2.0,1.0,Nivel 1,1.0,2,-0.11515379142272336
Expedición Tarjeta Preferente Tuzobús para Personas con Discapacidad,Secretaría de Movilidad y Transporte,Sistema de Transporte Masivo de Hidalgo,20.0,2.0,1.0,Nivel 1,1.0,2,-0.11515379142272336
"Por la certificación, expedición y entrega de un ejemplar del Periódico Oficial del Estado.",Secretaría de Gobierno,Secretaría de Gobierno,480.0,0.0,0.0,Nivel 3.7,1.0,0,-0.32989306774852645
Devolución Vehículos Recuperados,Procuraduría General de Justicia,Procuraduría General de Justicia,4320.0,5.0,0.0,Nivel 3.1,0.0,1,-0.18900666516135056
Convocatoria del Instituto de Formación Profesional,Secretaría de Seguridad Pública,Secretaría de Seguridad Pública,64800.0,15.0,3.0,Nivel 1,0.0,1,1.3208564102329212
Inscripción al Padrón de Contratistas (Persona Moral),Secretaría de Contraloría,Secretaría de Controlaría,21600.0,0.0,0.0,Nivel 1,1.0,2,0.30870369603760256
Inscripción al Padrón de Contratistas (Persona Física),Secretaría de Contraloría,Secretaría de Controlaría,1440.0,0.0,0.0,,1.0,2,0.13456105152156567
Revalidación del Registro de Contratistas (Persona Moral),Secretaría de Contraloría,Secretaría de Controlaría,1440.0,0.0,0.0,,1.0,2,0.13456105152156567
Revalidación del Registro de Contratistas (Persona Física),Secretaría de Contraloría,Secretaría de Controlaría,21600.0,0.0,0.0,Nivel 1,1.0,2,0.30870369603760256
Prestación de servicios del Complejo Deportivo Revolución Mexicana del Instituto Hidalguense del Deporte,Secretaría de Educación Pública,Instituto Hidalguense del Deporte,10.0,3.0,3.0,Nivel 2,1.0,2,0.4364515108352321
Caja general del Sistema DIF Hidalgo,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,10.0,0.0,0.0,,0.0,1,-0.7400857536735056
Capacitar con temas gerontológicos a los enlaces y/o personas que estén al frente de grupos de personas adultas mayores de los diferentes DIF Municipales.,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,7200.0,1.0,0.0,,0.0,1,-0.2131063050950963
Centros de Desarrollo Comunitario Urbanos (CDC),Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,1440.0,0.0,0.0,,0.0,1,-0.4101841291160979
"Acompañamiento, asistencia y seguimiento de proyectos de inversión",Secretaría de Desarrollo Económico,Secretaría de Desarrollo Económico,60.0,0.0,1.0,Nivel 3.1,0.0,1,-0.8318243261476514
Comercialización de prendas no desempeñadas,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,1440.0,0.0,0.0,,0.0,1,-0.4101841291160979
Credencialización para Personas con Discapacidad Permanente,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,1440.0,3.0,0.0,,0.0,1,-0.31476120900234583
"Apoyo con Estudios de gabinete, laboratorio y medicamentos",Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,1440.0,1.0,0.0,Nivel 1,0.0,1,-0.48358330343310424
Apoyo de Gastos Funerarios,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,1440.0,3.0,0.0,,0.0,1,-0.31476120900234583
Jornadas Médicas de Subespecialidad,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,1440.0,2.0,1.0,Nivel 1,0.0,1,-0.38183584197056075
Ayudas Técnicas,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,1440.0,0.0,0.0,Nivel 1,0.0,1,-0.48358330343310424
Servicio de Atención Psicológica,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,1440.0,0.0,0.0,Nivel 1,0.0,1,-0.48358330343310424
Servicio de Estacionamiento Plaza Independencia Reloj Monumental,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,1440.0,0.0,0.0,,0.0,1,-0.4101841291160979
Licencia de Uso de Suelo,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,30.0,8.0,2.0,Nivel 1,1.0,2,0.6982551721146562
Taller Laboratorio de Órtesis y Prótesis,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,1440.0,2.0,0.0,Nivel 1,0.0,1,-0.3881603833193521
Consulta Médica en el Servicio de Urgencias en el Hospital del Niño DIF Hidalgo,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,1440.0,1.0,0.0,Nivel 1,0.0,1,-0.48358330343310424
Por actualización o reexpedición de órdenes de escrituración,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,30.0,4.0,1.0,,1.0,2,0.16409541780227876
Autorización de Fusión,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,20.0,7.0,1.0,Nivel 1,1.0,2,0.2844741429636215
Autorización de Subdivisión,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,25.0,6.0,2.0,Nivel 1,1.0,2,0.4895357947863679
Autorización de Fraccionamiento,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,30.0,14.0,1.0,Nivel 1,1.0,2,0.5911147170358637
Por trámite de avalúo y traslado de Dominio de la Comisión Estatal de Vivienda,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,30.0,5.0,1.0,,1.0,2,0.16409541780227876
Entrega de paquetes de Conejos.,Secretaría de Agricultura y Desarrollo Rural,Secretaría de Agricultura y Desarrollo Rural,2880.0,1.0,1.0,Nivel 2,0.0,1,-0.49511786922634926
Albergue del Hospital del Niño DIF Hidalgo,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,1440.0,0.0,0.0,Nivel 1,0.0,1,-0.48358330343310424
Autorización de Relotificación de Fraccionamiento,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,20.0,8.0,1.0,Nivel 1,1.0,2,0.2844741429636215
Alerta AMBER en Hidalgo,Procuraduría General de Justicia,Procuraduría General de Justicia,10.0,4.0,0.0,Nivel 3.5,0.0,1,-0.9686386104920874
Autorización de Protocolización,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,20.0,4.0,1.0,Nivel 1,0.0,1,-0.47008052877367673
Autorización de Venta de Lotes,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,25.0,10.0,1.0,Nivel 1,1.0,2,0.30159584835625347
Autorización de Régimen de Propiedad en Condominio,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,30.0,11.0,1.0,Nivel 1,1.0,2,0.5911147170358637
Inscripción UTTT,Secretaría de Educación Pública,Universidad Tecnológica de Tula-Tepeji,15.0,3.0,0.0,Nivel 1,1.0,2,-0.14327858362747986
Búsqueda de documentos en archivo y expedición de copias,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,15.0,1.0,1.0,,1.0,2,-0.15897778807543433
Expedición de constancias de Propiedad y/o Posesión,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,30.0,4.0,1.0,,1.0,2,0.16409541780227876
Dictamen de Estudio de impacto Urbano y Vial,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,30.0,4.0,1.0,Nivel 1,1.0,2,0.09069624348527246
Reposición de Acta Entrega,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,30.0,3.0,1.0,Nivel 1,1.0,2,-0.09912219980143777
Copias Certificadas y Simples,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,20.0,1.0,1.0,Nivel 1,1.0,2,-0.2105767115364755
Copia de Plano,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,30.0,1.0,1.0,,1.0,2,-0.12114594559818359
Elaboración de Croquis de Localización por Lote,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,30.0,1.0,1.0,,1.0,2,-0.12114594559818359
Marcado de lotes,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,30.0,1.0,1.0,,1.0,2,-0.12114594559818359
Entrega física del lote por segunda vez,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,30.0,1.0,1.0,,1.0,2,-0.12114594559818359
Levantamiento Topográfico,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,30.0,1.0,1.0,,1.0,2,-0.12114594559818359
Capacitación Acuícola y Pesquera,Secretaría de Agricultura y Desarrollo Rural,Secretaría de Agricultura y Desarrollo Rural,43200.0,0.0,1.0,Nivel 2,0.0,1,-0.247550084604976
Admisión UTVM,Secretaría de Educación Pública,Universidad Tecnológica del Valle del Mezquital,1440.0,1.0,0.0,Nivel 1,1.0,2,0.06116187720455936
Solicitud de baja temporal ó toma muerta del servicio de agua potable.,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión de Agua y Alcantarillado del Sistema Valle del Mezquital,1440.0,0.0,1.0,,0.0,1,-0.40385958776730657
Director Responsable y Corresponsable Modalidad Registro de DRyC,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,30.0,5.0,2.0,Nivel 1,1.0,2,0.4884456810150215
Instalación física de toma de agua potable.,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión de Agua y Alcantarillado del Sistema Valle del Mezquital,1440.0,1.0,0.0,,0.0,1,-0.4101841291160979
"Asesoría de la Incubadora de Empresas del ICATHI, para iniciar o fortalecer un negocio",Secretaría de Trabajo y Previsión Social,Instituto de Capacitación para el Trabajo del Estado de Hidalgo,60.0,1.0,0.0,Nivel 1,1.0,2,-0.1466053382247664
Inscripción COBAEH,Secretaría de Educación Pública,Colegio de Bachilleres del Estado de Hidalgo,10.0,6.0,0.0,Nivel 1,1.0,2,0.016501616047614076
Constancia de Persona Concesionaria y/o Permisionaria,Secretaría de Movilidad y Transporte,Sistema de Transporte Convencional de Hidalgo,30.0,2.0,1.0,,1.0,2,-0.02572302548443145
Inscripción UTVM,Secretaría de Educación Pública,Universidad Tecnológica del Valle del Mezquital,1440.0,2.0,0.0,Nivel 1,1.0,2,0.15658479731831149
Reinscripción UTVM,Secretaría de Educación Pública,Universidad Tecnológica del Valle del Mezquital,1440.0,1.0,0.0,Nivel 1,1.0,2,0.06116187720455936
Otorgamiento o Renovación de Permisos del Servicio Privado y Complementario de Transporte de Personas y Bienes,Secretaría de Movilidad y Transporte,Sistema de Transporte Convencional de Hidalgo,30.0,10.0,1.0,,1.0,2,0.3739049089019134
Mediación y Conciliación en Materia Penal,Procuraduría General de Justicia,Procuraduría General de Justicia,15.0,2.0,0.0,Nivel 3.1,0.0,1,-0.8348221128991562
Inscripción UTT,Secretaría de Educación Pública,Universidad Tecnológica de Tulancingo,2880.0,1.0,0.0,Nivel 4.2,1.0,0,-0.7640881474245467
Admisión UTT,Secretaría de Educación Pública,Universidad Tecnológica de Tulancingo,2880.0,3.0,0.0,Nivel 4.2,1.0,0,-0.6686652273107946
Inscripción UPP,Secretaría de Educación Pública,Universidad Politécnica de Pachuca,30.0,4.0,1.0,Nivel 2,1.0,2,0.01729706916826615
Reinscripción UPP,Secretaría de Educación Pública,Universidad Politécnica de Pachuca,15.0,2.0,0.0,Nivel 1,1.0,2,-0.14327858362747986
Certificado de Normas Técnicas de Competencia Laboral en CONALEPH,Secretaría de Educación Pública,Colegio de Educación Profesional Técnica del Estado de Hidalgo,1440.0,2.0,0.0,Nivel 3.1,1.0,2,0.00978644868429876
Autorización para el trabajo de mayores de 15 años y menores de 16,Secretaría de Trabajo y Previsión Social,Secretaría de Trabajo y Previsión Social,259200.0,4.0,2.0,,0.0,1,0.8872156452452524
Inscripción a cursos de inglés,Secretaría de Educación Pública,Instituto Hidalguense de Educación,40.0,2.0,1.0,Nivel 1,1.0,2,-0.07670857550675259
Certificado de no Propiedad (Registro Público de la Propiedad y del Comercio),Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,8640.0,1.0,2.0,,1.0,2,0.7503272654965899
Certificado de Única Propiedad (Registro Público de la Propiedad y del Comercio),Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,8640.0,1.0,2.0,Nivel 3.5,1.0,0,0.23653304527754554
Informes sobre Inscripción de Testamentos (Registro Público de la Propiedad y del Comercio),Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,21600.0,1.0,2.0,Nivel 3.5,1.0,0,0.27238262901410487
Inscripción de Accesión de Terrenos Rústicos (Registro Público de la Propiedad y del Comercio),Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,21600.0,7.0,1.0,Nivel 3.5,1.0,0,0.36968404598445287
"Inscripción de Actos Mercantiles, Rectificación (Registro Público de la Propiedad y del Comercio)",Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,21600.0,3.0,1.0,Nivel 3.5,1.0,0,-0.02994388840189202
Inscripción de Contratos que transmiten la Propiedad de Muebles con Limitaciones. (Registro Público de la Propiedad y del Comercio),Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,21600.0,2.0,1.0,Nivel 3.5,1.0,0,-0.02994388840189202
Inscripción de Escrituras Constitutivas de Personas Morales o Modificaciones de Capital (Registro Público de la Propiedad y del Comercio),Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,21600.0,1.0,1.0,Nivel 3.5,1.0,0,-0.12536680851564413
Impartición de Justicia en Conflictos Laborales del Sector Privado,Secretaría de Trabajo y Previsión Social,Secretaría de Trabajo y Previsión Social,259200.0,0.0,0.0,Nivel 1,0.0,1,0.12450112864924351
Impartición de justicia de conflictos laborales del sector público,Secretaría de Trabajo y Previsión Social,Secretaría de Trabajo y Previsión Social,518400.0,1.0,0.0,Nivel 1,0.0,1,0.18006886263399596
Celebración de Convenios Fuera de Juicio de los trabajadores al Servicio de los Gobiernos Estatal y Municipal.,Secretaría de Trabajo y Previsión Social,Secretaría de Trabajo y Previsión Social,259200.0,1.0,0.0,,0.0,1,0.19790030296624989
"Registro de Sindicatos, Expedición de la Toma de Nota y Registro de Condiciones Generales de Trabajo de los Sindicatos al Servicio de los Gobiernos Estatal y Municipal del Estado de Hidalgo.",Secretaría de Trabajo y Previsión Social,Secretaría de Trabajo y Previsión Social,518400.0,1.0,0.0,Nivel 1,0.0,1,0.18006886263399596
Tramitación de la Declaración de Beneficiarios de trabajadores al Servicio de los Gobiernos Estatal y Municipal.,Secretaría de Trabajo y Previsión Social,Secretaría de Trabajo y Previsión Social,259200.0,0.0,1.0,Nivel 1,0.0,1,0.13082566999803485
Acuerdo que autoriza o niega el reconocimiento de validez oficial de estudios de tipo superior. (RVOE),Secretaría de Educación Pública,Secretaría de Educación Pública,86400.0,5.0,1.0,Nivel 2,1.0,2,0.6380034202129099
Registro y cotejo de documentos de alumnos inscritos en nivel licenciatura y posgrado,Secretaría de Educación Pública,Secretaría de Educación Pública,1440.0,3.0,1.0,Nivel 1,1.0,2,0.1629093386671028
Expedición de certificado de defunción,Secretaría de Salud,Secretaría de Salud,60.0,0.0,1.0,Nivel 1,0.0,1,-0.6850259775136387
Inscripción de Poderes Civiles y Sustituciones (Registro Público de la Propiedad y del Comercio),Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,21600.0,2.0,1.0,Nivel 3.5,1.0,0,-0.02994388840189202
Regularización de la propiedad,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,20.0,0.0,1.0,,1.0,2,-0.13717753721946918
Inscripción por Constitución del Patrimonio Familiar. (Registro Público de la Propiedad y del Comercio),Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,21600.0,2.0,1.0,,1.0,2,0.4838503318171523
Ratificación de firmas. (Registro Público de la Propiedad y del Comercio),Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,21600.0,2.0,1.0,,1.0,2,0.4838503318171523
