Tiempo_en_minutos,N_FORMATOS_FINAL,CONTEO_NETO,TraCosto,nivel_digitalizacion
-0.18909252781620678,-1.0,-0.5,0.0,0.0
-0.1888734171234881,1.0,3.0,0.0,11.0
-0.1884351957380508,2.0,4.0,0.0,0.0
0.8126603577255426,-1.0,0.0,-1.0,0.0
-0.1262077590059503,1.0,2.5,0.0,0.0
0.18931163850892543,1.0,-0.5,0.0,0.0
-0.18931163850892543,-1.0,-1.0,-1.0,0.0
-0.18668231019630147,0.0,1.5,0.0,1.0
0.8126603577255426,-1.0,-0.5,-1.0,0.0
-0.1262077590059503,-1.0,-0.5,-1.0,0.0
-0.1888734171234881,-1.0,0.5,0.0,0.0
-0.1884351957380508,-1.0,-1.0,0.0,0.0
-0.1888734171234881,-1.0,-1.0,0.0,0.0
-0.1840529818836775,0.0,1.0,-1.0,0.0
0.8126603577255426,-1.0,-1.0,-1.0,0.0
-0.18865430643076944,-1.0,0.0,0.0,0.0
0.8126603577255426,-1.0,-1.0,-1.0,0.0
-0.1884351957380508,-1.0,-1.0,0.0,0.0
0.18931163850892543,-1.0,0.0,-1.0,0.0
0.37862327701785087,-1.0,-0.5,-1.0,0.0
0.8126603577255426,-1.0,1.0,0.0,0.0
0.8126603577255426,-1.0,-0.5,0.0,0.0
-0.1840529818836775,0.0,2.0,0.0,1.0
0.8126603577255426,-1.0,-1.0,-1.0,0.0
0.8126603577255426,0.0,-1.0,0.0,0.0
-0.1262077590059503,-1.0,-0.5,0.0,12.0
-0.1262077590059503,-1.0,-1.0,-1.0,12.0
0.0,-1.0,-0.5,0.0,0.0
0.8126603577255426,0.0,-1.0,-1.0,0.0
1.3882853490654532,1.0,1.0,0.0,0.0
0.8126603577255426,-1.0,0.0,0.0,0.0
-0.1262077590059503,-1.0,-1.0,-1.0,12.0
0.8126603577255426,-1.0,-1.0,-1.0,0.0
-0.1888734171234881,0.0,1.0,0.0,1.0
0.8126603577255426,-1.0,-1.0,-1.0,0.0
0.0,0.0,2.5,0.0,2.0
-0.18865430643076944,0.0,1.0,0.0,0.0
0.8126603577255426,-1.0,-0.5,0.0,0.0
0.8126603577255426,0.0,-1.0,0.0,0.0
0.8126603577255426,-1.0,1.5,0.0,0.0
-0.18799697435261345,-1.0,-1.0,0.0,0.0
-0.1884351957380508,1.0,0.0,0.0,0.0
-0.1884351957380508,0.0,0.5,0.0,0.0
-0.18865430643076944,-1.0,0.0,0.0,8.0
-0.1884351957380508,0.0,0.0,0.0,0.0
0.8126603577255426,0.0,-1.0,0.0,0.0
0.8126603577255426,-1.0,-0.5,0.0,0.0
-0.1888734171234881,1.0,0.5,0.0,11.0
11.1693866720266,0.0,2.0,0.0,0.0
-0.18909252781620678,-1.0,-1.0,0.0,6.0
-0.06310387950297515,0.0,0.5,0.0,0.0
0.8126603577255426,0.0,1.0,0.0,0.0
-0.18668231019630147,2.0,0.5,0.0,1.0
-0.1682770120079337,-1.0,-0.5,0.0,0.0
-0.1255504269277943,-1.0,-0.5,0.0,0.0
-0.1884351957380508,-1.0,-1.0,0.0,0.0
-0.18799697435261345,-1.0,0.0,0.0,0.0
0.8126603577255426,-1.0,2.0,0.0,0.0
-0.18668231019630147,0.0,-0.5,0.0,2.0
22.528084982562127,-1.0,3.0,0.0,10.0
-0.1888734171234881,-1.0,-0.5,0.0,0.0
0.7572465540357017,-1.0,-0.5,0.0,0.0
0.8126603577255426,-1.0,0.5,0.0,0.0
-0.18142365357105353,-1.0,-0.5,0.0,8.0
-0.06310387950297515,1.0,2.5,0.0,2.0
-0.06310387950297515,-1.0,1.5,0.0,13.0
-0.18865430643076944,-1.0,-1.0,0.0,6.0
0.441727156520826,0.0,-0.5,-1.0,1.0
-0.1882160850453321,0.0,0.5,0.0,0.0
0.0,0.0,-0.5,0.0,1.0
0.8126603577255426,-1.0,-0.5,0.0,0.0
9.276270286937347,-1.0,2.0,0.0,0.0
0.1262077590059503,-1.0,-0.5,0.0,10.0
0.7572465540357017,-1.0,-0.5,0.0,0.0
0.0,-1.0,-0.5,0.0,0.0
-0.1884351957380508,0.0,0.5,0.0,0.0
-0.18865430643076944,-1.0,1.5,0.0,2.0
-0.1882160850453321,0.0,1.0,0.0,0.0
-0.1882160850453321,0.0,1.0,0.0,0.0
0.8126603577255426,-1.0,-1.0,-1.0,0.0
-0.18799697435261345,-1.0,-0.5,0.0,1.0
-0.1875587529671761,0.0,1.0,0.0,0.0
-0.06310387950297515,0.0,0.5,0.0,1.0
-0.1888734171234881,0.0,0.5,0.0,1.0
-0.1262077590059503,-1.0,-0.5,0.0,0.0
-0.1262077590059503,0.0,-1.0,-1.0,1.0
0.8126603577255426,-1.0,-1.0,0.0,0.0
0.8126603577255426,-1.0,-1.0,0.0,0.0
-0.18733964227445746,0.0,-0.5,-1.0,1.0
-0.06310387950297515,0.0,0.5,0.0,0.0
7.383153901848092,0.0,-0.5,0.0,0.0
0.8126603577255426,0.0,0.5,0.0,0.0
-0.18865430643076944,0.0,-0.5,-1.0,2.0
0.8126603577255426,0.0,-1.0,0.0,0.0
-0.18799697435261345,0.0,0.5,0.0,0.0
-0.06310387950297515,0.0,1.5,0.0,0.0
0.441727156520826,-1.0,-1.0,0.0,0.0
-0.18799697435261345,-1.0,0.0,0.0,0.0
0.1262077590059503,0.0,1.5,0.0,11.0
1.325181469562478,-1.0,-0.5,0.0,0.0
0.2524155180119006,0.0,-1.0,-1.0,0.0
0.8126603577255426,0.0,-0.5,0.0,0.0
-0.18799697435261345,-1.0,-0.5,0.0,0.0
-0.18865430643076944,0.0,0.5,-1.0,0.0
-0.18668231019630147,1.0,3.5,0.0,1.0
-0.18799697435261345,-1.0,1.0,0.0,0.0
7.383153901848092,1.0,0.0,0.0,0.0
3.6600250111725585,-1.0,0.0,-1.0,0.0
0.1262077590059503,0.0,-0.5,-1.0,0.0
-0.18580586742542682,-1.0,0.0,0.0,8.0
-0.18799697435261345,-1.0,-0.5,0.0,0.0
7.383153901848092,1.0,-0.5,0.0,0.0
-0.1262077590059503,-1.0,-0.5,-1.0,0.0
-0.1871205315817388,-1.0,-1.0,-1.0,0.0
-0.18799697435261345,-1.0,-0.5,0.0,1.0
0.8126603577255426,-1.0,-1.0,-1.0,0.0
0.1262077590059503,0.0,-1.0,0.0,0.0
-0.1262077590059503,0.0,-1.0,-1.0,0.0
1.3882853490654532,0.0,0.5,0.0,0.0
-0.18668231019630147,-1.0,0.5,0.0,0.0
-0.1871205315817388,-1.0,-1.0,-1.0,0.0
0.8126603577255426,0.0,0.5,-1.0,0.0
0.31551939751487573,0.0,1.5,0.0,11.0
-0.1262077590059503,-1.0,-1.0,0.0,0.0
-0.1871205315817388,-1.0,-1.0,-1.0,0.0
14.955619442205109,0.0,-1.0,0.0,0.0
-0.1262077590059503,0.0,-1.0,-1.0,0.0
0.8126603577255426,-1.0,-1.0,-1.0,0.0
0.5048310360238012,0.0,1.0,0.0,0.0
0.1262077590059503,0.0,-1.0,0.0,0.0
-0.1262077590059503,0.0,-1.0,-1.0,1.0
0.8126603577255426,-1.0,-1.0,-1.0,0.0
0.8126603577255426,-1.0,2.0,-1.0,0.0
0.8126603577255426,3.0,1.0,-1.0,0.0
0.8126603577255426,-1.0,0.0,-1.0,0.0
0.18931163850892543,0.0,-0.5,-1.0,0.0
1.703804746580329,-1.0,-1.0,0.0,0.0
-0.1682770120079337,-1.0,-1.0,0.0,0.0
0.441727156520826,0.0,1.0,0.0,11.0
-0.18142365357105353,-1.0,1.0,-1.0,0.0
0.8126603577255426,-1.0,-1.0,-1.0,0.0
-0.1877778636598948,0.0,2.5,0.0,0.0
-0.1882160850453321,0.0,0.0,-1.0,0.0
-0.1884351957380508,0.0,0.0,0.0,0.0
-0.1884351957380508,0.0,0.0,0.0,0.0
-0.1682770120079337,-1.0,-1.0,0.0,8.0
0.0,-1.0,1.5,-1.0,2.0
2.650362939124956,2.0,6.5,-1.0,0.0
0.7572465540357017,-1.0,-1.0,0.0,0.0
0.8126603577255426,-1.0,-1.0,0.0,0.0
0.8126603577255426,-1.0,-1.0,0.0,0.0
0.7572465540357017,-1.0,-1.0,0.0,0.0
-0.1888734171234881,2.0,0.5,0.0,1.0
-0.1888734171234881,-1.0,-1.0,-1.0,0.0
0.1262077590059503,-1.0,-0.5,-1.0,0.0
0.8126603577255426,-1.0,-1.0,-1.0,0.0
-0.18668231019630147,0.0,-1.0,-1.0,2.0
0.8126603577255426,-1.0,-1.0,-1.0,0.0
0.8126603577255426,-1.0,0.5,-1.0,0.0
0.8126603577255426,-1.0,-0.5,-1.0,0.0
0.8126603577255426,-1.0,0.5,-1.0,0.0
0.8126603577255426,0.0,0.0,-1.0,0.0
0.8126603577255426,-1.0,-1.0,-1.0,0.0
0.8126603577255426,-1.0,-1.0,-1.0,0.0
0.8126603577255426,-1.0,-1.0,-1.0,0.0
-0.18799697435261345,1.0,3.0,0.0,0.0
0.8126603577255426,-1.0,0.0,-1.0,0.0
