Tramite,Secretaria,Dependencia,Tiempo_en_minutos,CONTEO_NETO,N_FORMATOS_FINAL,nivel_digitalizacion,costo,cluster,indice_z
Transporte Público Masivo de Pasajeros Tuzobús.,Secretaría de Movilidad y Transporte,Sistema de Transporte Masivo de Hidalgo,5.0,1.0,0.0,Nivel 1,1.0,2,-0.3279600781815562
Impuesto sobre Tenencia y Refrendo Vehicular (para vehículo particular y de demostración),Secretaría de Hacienda,Secretaría de Hacienda,10.0,8.0,2.0,Nivel 4.1,1.0,0,0.20324813084321508
Canje de Placas,Secretaría de Hacienda,Secretaría de Hacienda,20.0,10.0,3.0,,1.0,0,1.3125323862532834
Servicio de laboratorio clínico en el Hospital del Niño DIF Hidalgo,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,1440.0,2.0,0.0,Nivel 1,0.0,1,-0.34291281978269994
Cambio de Propietario,Secretaría de Hacienda,Secretaría de Hacienda,1440.0,7.0,2.0,,1.0,0,1.171801503932402
Certificado de Existencia o Inexistencia de Gravamen (Registro Público de la Propiedad y del Comercio),Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,8640.0,1.0,2.0,,1.0,0,0.7287253546773564
Asesoría Jurídica.,Secretaría de Gobierno,Dirección General del Instituto de Defensoría Pública,0.0,0.0,0.0,Nivel 1,0.0,1,-0.5972838348248566
Expedición de Constancia de NO Antecedentes Penales,Procuraduría General de Justicia,Procuraduría General de Justicia,60.0,5.0,1.0,Nivel 2,1.0,2,0.11100563439718944
Radiología e Imagenología del Hospital del Niño DIF Hidalgo,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,1440.0,1.0,0.0,Nivel 1,0.0,1,-0.4609610010030646
Patrocinio Jurídico.,Secretaría de Gobierno,Dirección General del Instituto de Defensoría Pública,1440.0,1.0,0.0,Nivel 1,0.0,1,-0.4609610010030646
Admisión COBAEH,Secretaría de Educación Pública,Colegio de Bachilleres del Estado de Hidalgo,10.0,3.0,0.0,Nivel 1,1.0,2,-0.1710379749184951
Legalización de Documentos,Secretaría de Gobierno,Secretaría de Gobierno,20.0,0.0,0.0,Nivel 1,1.0,2,-0.2476153605647946
Reinscripción COBAEH,Secretaría de Educación Pública,Colegio de Bachilleres del Estado de Hidalgo,10.0,0.0,0.0,Nivel 1,1.0,2,-0.2890861561388597
"Inscripción de Alfabetización, Primaria y Secundaria Abierta de Educación para Adultos",Secretaría de Educación Pública,Instituto Hidalguense de Educación para Adultos,120.0,4.0,1.0,Nivel 1,0.0,1,-0.22214471470249403
Bolsa de Trabajo y Abriendo Espacios,Secretaría de Trabajo y Previsión Social,Secretaría de Trabajo y Previsión Social,259200.0,0.0,0.0,,0.0,1,0.0842258841164187
Reinscripción UTTT,Secretaría de Educación Pública,Universidad Tecnológica de Tula-Tepeji,15.0,2.0,0.0,Nivel 1,1.0,2,-0.14700738002920205
Becas Institucionales UTVM,Secretaría de Educación Pública,Universidad Tecnológica del Valle del Mezquital,1440.0,0.0,0.0,Nivel 1,0.0,1,-0.4609610010030646
